Track_id,Gene_Name,Locus,Strand,Gene_Type,Metric,Dataset,GDM001,GDM002,GDM003,GDM004,NEG001,NEG002,NEG003,NEG004
ENSG00000000003.14_2,TSPAN6,chrX:99882106-99894988,-,protein_coding,FPKM,GSE154414,6.626489548,5.43491023,6.961599861,8.235031244,10.46984209,9.45405145,12.26299125,8.517889953
ENSG00000000005.5_2,TNMD,chrX:99839799-99854882,+,protein_coding,FPKM,GSE154415,1.495331404,1.431940939,0.890075076,0.924354565,2.23802085,1.331894091,3.386303975,1.089507335
ENSG00000000419.12_2,DPM1,chr20:49551404-49575092,-,protein_coding,FPKM,GSE154416,35.9010497,36.68367708,32.25226868,30.3856524,35.30818284,32.79049417,35.83647934,36.16647718
ENSG00000000457.13_2,SCYL3,chr1:169818772-169863408,-,protein_coding,FPKM,GSE154417,3.661323639,2.114280072,2.466749079,2.078257793,4.271135507,3.634500219,2.685526313,2.633544594
ENSG00000000460.16_4,C1orf112,chr1:169631245-169823221,+,protein_coding,FPKM,GSE154418,1.09493895,1.089446792,1.087638856,0.64081574,1.560292865,1.033702168,1.096108796,1.306097022
ENSG00000000938.12_2,FGR,chr1:27938575-27961788,-,protein_coding,FPKM,GSE154419,1.786729342,2.645700727,3.052853642,3.306581672,1.433967223,1.733648622,2.069753936,1.185599417
ENSG00000000971.15_2,CFH,chr1:196621008-196716634,+,protein_coding,FPKM,GSE154420,1.940703438,1.062981321,8.436487662,3.381125807,3.66904833,4.776635801,5.601128104,3.453887674
ENSG00000001036.13_2,FUCA2,chr6:143815948-143832827,-,protein_coding,FPKM,GSE154421,28.58262874,32.43924886,39.00538723,32.2771652,30.08151022,34.52558175,26.96378488,34.70444281
ENSG00000001084.10_3,GCLC,chr6:53362139-53481768,-,protein_coding,FPKM,GSE154422,3.840614391,2.090060917,4.430289628,3.432474547,2.623722943,2.877591685,2.171756952,3.174049132
ENSG00000001167.14_2,NFYA,chr6:41040684-41067715,+,protein_coding,FPKM,GSE154423,9.137547279,7.061622538,7.356735198,7.32632905,8.663710033,8.459490104,8.212196259,8.221100917
ENSG00000001461.16_2,NIPAL3,chr1:24742284-24799466,+,protein_coding,FPKM,GSE154424,3.340151403,1.792211575,2.201579469,3.036062367,1.844309361,1.556660541,2.524932062,2.180931673
ENSG00000001497.16_2,LAS1L,chrX:64732462-64754655,-,protein_coding,FPKM,GSE154425,5.044688979,4.014184756,4.405824062,5.010666509,4.773920262,5.25667181,5.309135255,4.845417917
ENSG00000001561.6_2,ENPP4,chr6:46097730-46114436,+,protein_coding,FPKM,GSE154426,1.473948,1.187922,1.599226,1.585545,2.167855,1.660354,2.571622,1.63394
ENSG00000001617.11_2,SEMA3F,chr3:50192478-50226508,+,protein_coding,FPKM,GSE154427,16.72238886,14.08161736,13.51477014,17.36294453,17.8693334,15.22184339,19.58701861,18.94488891
ENSG00000001629.9_3,ANKIB1,chr7:91875548-92030698,+,protein_coding,FPKM,GSE154428,7.08914796,6.560999817,7.710758811,6.97990984,7.090816962,7.069948889,7.347202294,7.980498308
ENSG00000001630.15_3,CYP51A1,chr7:91741465-91772266,-,protein_coding,FPKM,GSE154429,5.350745453,4.67709875,6.908798727,6.747561253,6.323642353,7.102041668,5.982583366,6.91325263
